n_institutions,n_per_group_per_inst,total_n,true_or,power,convergence_rate
6,2,48,1.2,0.152,1
6,2,48,1.5,0.404,1
6,2,48,2,0.748,1
6,2,48,2.5,0.888,1
6,4,96,1.2,0.236,1
6,4,96,1.5,0.578,1
6,4,96,2,0.942,1
6,4,96,2.5,0.996,1
6,6,144,1.2,0.296,1
6,6,144,1.5,0.77,1
6,6,144,2,0.982,1
6,6,144,2.5,1,1
8,2,64,1.2,0.222,1
8,2,64,1.5,0.532,1
8,2,64,2,0.85,1
8,2,64,2.5,0.964,1
8,4,128,1.2,0.33,1
8,4,128,1.5,0.758,1
8,4,128,2,0.98,1
8,4,128,2.5,1,1
8,6,192,1.2,0.358,1
8,6,192,1.5,0.876,1
8,6,192,2,0.998,1
8,6,192,2.5,1,1
10,2,80,1.2,0.244,1
10,2,80,1.5,0.614,1
10,2,80,2,0.918,1
10,2,80,2.5,0.984,1
10,4,160,1.2,0.28,1
10,4,160,1.5,0.806,1
10,4,160,2,0.998,1
10,4,160,2.5,1,1
10,6,240,1.2,0.4,1
10,6,240,1.5,0.948,1
10,6,240,2,0.998,1
10,6,240,2.5,1,1
